ID,Text,# Id,Subject,Object,Predicate,Lexical cue,DeviceID,Supp
P930016_S006,"proval for for 1)laser removal of the epithelium; 2)visibility upgrade; 3)swivel mounted vacuum nozzle; 4)integrated hardware module with all unapproved indications ""locked out""; 5)variable Hertz rate from 1.5 to 10 Hertz; 6)smoothing; 7)installation of software Version 2.2 with all unapproved indications ""locked out""; and, 8)revised Operator's Manual.  The device as modified will be marketed under the trade name VISX START S2 Excimer Laser System and is indicated for myopic and astigmatic PRK using an ablation zone with a 6.0mm major axis.  The PRK procedure is intended for use:  1)in patients with documented evidence of a change in manifest refraction of less than or equal to 0.5D (in both cylinder and sphere components) per year for at least one year prior to the date of the pre-operative examination; and 2)in patient 18-20 years of age in PRK treatment for the reduction or elimination of myopia (nearsightedness) of less than or equal to -6.0D sphereical equivalent at the corneal plane with less than or equal to -1.0D of astigmatism; or 3)in patients 21 years of age or older in PRK treatments for the reduction or elimination of myopia (nearsightedness) of between 0 and -12.0D spherical myopia at the spectacle plane and up to -4.0D of astigmati",T27,841-846,age_end_unit,denotes,years,P930016,S006
P930016_S006,"proval for for 1)laser removal of the epithelium; 2)visibility upgrade; 3)swivel mounted vacuum nozzle; 4)integrated hardware module with all unapproved indications ""locked out""; 5)variable Hertz rate from 1.5 to 10 Hertz; 6)smoothing; 7)installation of software Version 2.2 with all unapproved indications ""locked out""; and, 8)revised Operator's Manual.  The device as modified will be marketed under the trade name VISX START S2 Excimer Laser System and is indicated for myopic and astigmatic PRK using an ablation zone with a 6.0mm major axis.  The PRK procedure is intended for use:  1)in patients with documented evidence of a change in manifest refraction of less than or equal to 0.5D (in both cylinder and sphere components) per year for at least one year prior to the date of the pre-operative examination; and 2)in patient 18-20 years of age in PRK treatment for the reduction or elimination of myopia (nearsightedness) of less than or equal to -6.0D sphereical equivalent at the corneal plane with less than or equal to -1.0D of astigmatism; or 3)in patients 21 years of age or older in PRK treatments for the reduction or elimination of myopia (nearsightedness) of between 0 and -12.0D spherical myopia at the spectacle plane and up to -4.0D of astigmati",T14,838-840,age_end,denotes,20,P930016,S006
P930016_S006,"proval for for 1)laser removal of the epithelium; 2)visibility upgrade; 3)swivel mounted vacuum nozzle; 4)integrated hardware module with all unapproved indications ""locked out""; 5)variable Hertz rate from 1.5 to 10 Hertz; 6)smoothing; 7)installation of software Version 2.2 with all unapproved indications ""locked out""; and, 8)revised Operator's Manual.  The device as modified will be marketed under the trade name VISX START S2 Excimer Laser System and is indicated for myopic and astigmatic PRK using an ablation zone with a 6.0mm major axis.  The PRK procedure is intended for use:  1)in patients with documented evidence of a change in manifest refraction of less than or equal to 0.5D (in both cylinder and sphere components) per year for at least one year prior to the date of the pre-operative examination; and 2)in patient 18-20 years of age in PRK treatment for the reduction or elimination of myopia (nearsightedness) of less than or equal to -6.0D sphereical equivalent at the corneal plane with less than or equal to -1.0D of astigmatism; or 3)in patients 21 years of age or older in PRK treatments for the reduction or elimination of myopia (nearsightedness) of between 0 and -12.0D spherical myopia at the spectacle plane and up to -4.0D of astigmati",T15,835-837,age_start,denotes,18,P930016,S006
P930016_S006,"proval for for 1)laser removal of the epithelium; 2)visibility upgrade; 3)swivel mounted vacuum nozzle; 4)integrated hardware module with all unapproved indications ""locked out""; 5)variable Hertz rate from 1.5 to 10 Hertz; 6)smoothing; 7)installation of software Version 2.2 with all unapproved indications ""locked out""; and, 8)revised Operator's Manual.  The device as modified will be marketed under the trade name VISX START S2 Excimer Laser System and is indicated for myopic and astigmatic PRK using an ablation zone with a 6.0mm major axis.  The PRK procedure is intended for use:  1)in patients with documented evidence of a change in manifest refraction of less than or equal to 0.5D (in both cylinder and sphere components) per year for at least one year prior to the date of the pre-operative examination; and 2)in patient 18-20 years of age in PRK treatment for the reduction or elimination of myopia (nearsightedness) of less than or equal to -6.0D sphereical equivalent at the corneal plane with less than or equal to -1.0D of astigmatism; or 3)in patients 21 years of age or older in PRK treatments for the reduction or elimination of myopia (nearsightedness) of between 0 and -12.0D spherical myopia at the spectacle plane and up to -4.0D of astigmati",T13,835-846,age_range,denotes,18-20,P930016,S006
P020050_S005,"proval for a change in the repetition rate from 200 hz to 400 hz.  The device, as modified, will be marketed under the trade name allegretto wave eye-q excimer laser system and is indicated for laser assisted in situ keratomileusis (lasik) for: 1) the reduction or elimination of naturally occurring mixed astigmatism of up to 6.00 diopters (d) at the spectacle plane in patients who are 21 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical equivalent shift over one year prior to surgery; and 2) the wavefront-guided (wfg) reduction or elimination of up to -7.00 diopters (d) of spherical equivalent myopia or myopia with astigmatism, with up to -7.00 d of spherical component and up to 3.00 d of astigmatic component at the spectacle plane in patients who are 18 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical shift over one year prior to surge",T8,852-857,age_end,denotes,older,P020050,S005
P020050_S005,"proval for a change in the repetition rate from 200 hz to 400 hz.  The device, as modified, will be marketed under the trade name allegretto wave eye-q excimer laser system and is indicated for laser assisted in situ keratomileusis (lasik) for: 1) the reduction or elimination of naturally occurring mixed astigmatism of up to 6.00 diopters (d) at the spectacle plane in patients who are 21 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical equivalent shift over one year prior to surgery; and 2) the wavefront-guided (wfg) reduction or elimination of up to -7.00 diopters (d) of spherical equivalent myopia or myopia with astigmatism, with up to -7.00 d of spherical component and up to 3.00 d of astigmatic component at the spectacle plane in patients who are 18 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical shift over one year prior to surge",T10,836-841,age_start_unit,denotes,years,P020050,S005
P020050_S005,"proval for a change in the repetition rate from 200 hz to 400 hz.  The device, as modified, will be marketed under the trade name allegretto wave eye-q excimer laser system and is indicated for laser assisted in situ keratomileusis (lasik) for: 1) the reduction or elimination of naturally occurring mixed astigmatism of up to 6.00 diopters (d) at the spectacle plane in patients who are 21 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical equivalent shift over one year prior to surgery; and 2) the wavefront-guided (wfg) reduction or elimination of up to -7.00 diopters (d) of spherical equivalent myopia or myopia with astigmatism, with up to -7.00 d of spherical component and up to 3.00 d of astigmatic component at the spectacle plane in patients who are 18 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical shift over one year prior to surge",T6,833-857,age_range,denotes,18 years of age or older,P020050,S005
P020050_S005,"proval for a change in the repetition rate from 200 hz to 400 hz.  The device, as modified, will be marketed under the trade name allegretto wave eye-q excimer laser system and is indicated for laser assisted in situ keratomileusis (lasik) for: 1) the reduction or elimination of naturally occurring mixed astigmatism of up to 6.00 diopters (d) at the spectacle plane in patients who are 21 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical equivalent shift over one year prior to surgery; and 2) the wavefront-guided (wfg) reduction or elimination of up to -7.00 diopters (d) of spherical equivalent myopia or myopia with astigmatism, with up to -7.00 d of spherical component and up to 3.00 d of astigmatic component at the spectacle plane in patients who are 18 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical shift over one year prior to surge",T12,833-835,age_start,denotes,18,P020050,S005
P020050_S005,"proval for a change in the repetition rate from 200 hz to 400 hz.  The device, as modified, will be marketed under the trade name allegretto wave eye-q excimer laser system and is indicated for laser assisted in situ keratomileusis (lasik) for: 1) the reduction or elimination of naturally occurring mixed astigmatism of up to 6.00 diopters (d) at the spectacle plane in patients who are 21 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical equivalent shift over one year prior to surgery; and 2) the wavefront-guided (wfg) reduction or elimination of up to -7.00 diopters (d) of spherical equivalent myopia or myopia with astigmatism, with up to -7.00 d of spherical component and up to 3.00 d of astigmatic component at the spectacle plane in patients who are 18 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical shift over one year prior to surge",T7,409-414,age_end,denotes,older,P020050,S005
P020050_S005,"proval for a change in the repetition rate from 200 hz to 400 hz.  The device, as modified, will be marketed under the trade name allegretto wave eye-q excimer laser system and is indicated for laser assisted in situ keratomileusis (lasik) for: 1) the reduction or elimination of naturally occurring mixed astigmatism of up to 6.00 diopters (d) at the spectacle plane in patients who are 21 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical equivalent shift over one year prior to surgery; and 2) the wavefront-guided (wfg) reduction or elimination of up to -7.00 diopters (d) of spherical equivalent myopia or myopia with astigmatism, with up to -7.00 d of spherical component and up to 3.00 d of astigmatic component at the spectacle plane in patients who are 18 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical shift over one year prior to surge",T9,393-398,age_start_unit,denotes,years,P020050,S005
P020050_S005,"proval for a change in the repetition rate from 200 hz to 400 hz.  The device, as modified, will be marketed under the trade name allegretto wave eye-q excimer laser system and is indicated for laser assisted in situ keratomileusis (lasik) for: 1) the reduction or elimination of naturally occurring mixed astigmatism of up to 6.00 diopters (d) at the spectacle plane in patients who are 21 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical equivalent shift over one year prior to surgery; and 2) the wavefront-guided (wfg) reduction or elimination of up to -7.00 diopters (d) of spherical equivalent myopia or myopia with astigmatism, with up to -7.00 d of spherical component and up to 3.00 d of astigmatic component at the spectacle plane in patients who are 18 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical shift over one year prior to surge",T5,390-414,age_range,denotes,21 years of age or older,P020050,S005
P020050_S005,"proval for a change in the repetition rate from 200 hz to 400 hz.  The device, as modified, will be marketed under the trade name allegretto wave eye-q excimer laser system and is indicated for laser assisted in situ keratomileusis (lasik) for: 1) the reduction or elimination of naturally occurring mixed astigmatism of up to 6.00 diopters (d) at the spectacle plane in patients who are 21 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical equivalent shift over one year prior to surgery; and 2) the wavefront-guided (wfg) reduction or elimination of up to -7.00 diopters (d) of spherical equivalent myopia or myopia with astigmatism, with up to -7.00 d of spherical component and up to 3.00 d of astigmatic component at the spectacle plane in patients who are 18 years of age or older with documentation of a stable manifest refraction defined as <=0.50 d of preoperative spherical shift over one year prior to surge",T11,390-392,age_start,denotes,21,P020050,S005
P120005_S031,"proval for the dexcom g4 platinum (pediatric) continuous glucose monitoring system. this device is a glucose monitoring device indicated for detecting trends and tracking patterns in persons ages 2 to 17 years with diabetes. the system is intended for single patient use and requires a prescription. the dexcom g4 platinum (pediatric) system is indicated for use as an adjunctive device to complement, not replace, information obtained from standard home glucose monitoring devices. the dexcom g4 platinum (pediatric) system aids in the detection of episodes of hyperglycemia and hypoglycemia, facilitating both acute and long-term therapy adjustments, which may minimize these excursions. interpretation of the dexcom g4 platinum (pediatric) system results should be based on the trends and patterns seen with several sequential readings over ti",T5,734-743,age_category,denotes,pediatric,P120005,S031
P120005_S031,"proval for the dexcom g4 platinum (pediatric) continuous glucose monitoring system. this device is a glucose monitoring device indicated for detecting trends and tracking patterns in persons ages 2 to 17 years with diabetes. the system is intended for single patient use and requires a prescription. the dexcom g4 platinum (pediatric) system is indicated for use as an adjunctive device to complement, not replace, information obtained from standard home glucose monitoring devices. the dexcom g4 platinum (pediatric) system aids in the detection of episodes of hyperglycemia and hypoglycemia, facilitating both acute and long-term therapy adjustments, which may minimize these excursions. interpretation of the dexcom g4 platinum (pediatric) system results should be based on the trends and patterns seen with several sequential readings over ti",T8,509-518,age_category,denotes,pediatric,P120005,S031
P120005_S031,"proval for the dexcom g4 platinum (pediatric) continuous glucose monitoring system. this device is a glucose monitoring device indicated for detecting trends and tracking patterns in persons ages 2 to 17 years with diabetes. the system is intended for single patient use and requires a prescription. the dexcom g4 platinum (pediatric) system is indicated for use as an adjunctive device to complement, not replace, information obtained from standard home glucose monitoring devices. the dexcom g4 platinum (pediatric) system aids in the detection of episodes of hyperglycemia and hypoglycemia, facilitating both acute and long-term therapy adjustments, which may minimize these excursions. interpretation of the dexcom g4 platinum (pediatric) system results should be based on the trends and patterns seen with several sequential readings over ti",T7,326-335,age_category,denotes,pediatric,P120005,S031
P120005_S031,"proval for the dexcom g4 platinum (pediatric) continuous glucose monitoring system. this device is a glucose monitoring device indicated for detecting trends and tracking patterns in persons ages 2 to 17 years with diabetes. the system is intended for single patient use and requires a prescription. the dexcom g4 platinum (pediatric) system is indicated for use as an adjunctive device to complement, not replace, information obtained from standard home glucose monitoring devices. the dexcom g4 platinum (pediatric) system aids in the detection of episodes of hyperglycemia and hypoglycemia, facilitating both acute and long-term therapy adjustments, which may minimize these excursions. interpretation of the dexcom g4 platinum (pediatric) system results should be based on the trends and patterns seen with several sequential readings over ti",T4,206-211,age_end_unit,denotes,years,P120005,S031
P120005_S031,"proval for the dexcom g4 platinum (pediatric) continuous glucose monitoring system. this device is a glucose monitoring device indicated for detecting trends and tracking patterns in persons ages 2 to 17 years with diabetes. the system is intended for single patient use and requires a prescription. the dexcom g4 platinum (pediatric) system is indicated for use as an adjunctive device to complement, not replace, information obtained from standard home glucose monitoring devices. the dexcom g4 platinum (pediatric) system aids in the detection of episodes of hyperglycemia and hypoglycemia, facilitating both acute and long-term therapy adjustments, which may minimize these excursions. interpretation of the dexcom g4 platinum (pediatric) system results should be based on the trends and patterns seen with several sequential readings over ti",T2,203-205,age_end,denotes,17,P120005,S031
P120005_S031,"proval for the dexcom g4 platinum (pediatric) continuous glucose monitoring system. this device is a glucose monitoring device indicated for detecting trends and tracking patterns in persons ages 2 to 17 years with diabetes. the system is intended for single patient use and requires a prescription. the dexcom g4 platinum (pediatric) system is indicated for use as an adjunctive device to complement, not replace, information obtained from standard home glucose monitoring devices. the dexcom g4 platinum (pediatric) system aids in the detection of episodes of hyperglycemia and hypoglycemia, facilitating both acute and long-term therapy adjustments, which may minimize these excursions. interpretation of the dexcom g4 platinum (pediatric) system results should be based on the trends and patterns seen with several sequential readings over ti",T3,198-199,age_start,denotes,2,P120005,S031
P120005_S031,"proval for the dexcom g4 platinum (pediatric) continuous glucose monitoring system. this device is a glucose monitoring device indicated for detecting trends and tracking patterns in persons ages 2 to 17 years with diabetes. the system is intended for single patient use and requires a prescription. the dexcom g4 platinum (pediatric) system is indicated for use as an adjunctive device to complement, not replace, information obtained from standard home glucose monitoring devices. the dexcom g4 platinum (pediatric) system aids in the detection of episodes of hyperglycemia and hypoglycemia, facilitating both acute and long-term therapy adjustments, which may minimize these excursions. interpretation of the dexcom g4 platinum (pediatric) system results should be based on the trends and patterns seen with several sequential readings over ti",T1,198-211,age_range,denotes,2 to 17,P120005,S031
P120005_S031,"proval for the dexcom g4 platinum (pediatric) continuous glucose monitoring system. this device is a glucose monitoring device indicated for detecting trends and tracking patterns in persons ages 2 to 17 years with diabetes. the system is intended for single patient use and requires a prescription. the dexcom g4 platinum (pediatric) system is indicated for use as an adjunctive device to complement, not replace, information obtained from standard home glucose monitoring devices. the dexcom g4 platinum (pediatric) system aids in the detection of episodes of hyperglycemia and hypoglycemia, facilitating both acute and long-term therapy adjustments, which may minimize these excursions. interpretation of the dexcom g4 platinum (pediatric) system results should be based on the trends and patterns seen with several sequential readings over ti",T6,37-46,age_category,denotes,pediatric,P120005,S031
P150024_S000,proval for the AspireAssist is intended to assist in weight reduction of obese patients. It is indicated for use in adults aged 22 or older with a Body Mass Index (BMI) of 35.0-55.0 kg/m2 who have failed to achieve and maintain weight loss with non-surgical weight loss therapy. The AspireAssist is intended for a long-term duration of use in conjunction with lifestyle therapy and continuous medical monitori,T3,136-141,age_end,denotes,older,P150024,S000
P150024_S000,proval for the AspireAssist is intended to assist in weight reduction of obese patients. It is indicated for use in adults aged 22 or older with a Body Mass Index (BMI) of 35.0-55.0 kg/m2 who have failed to achieve and maintain weight loss with non-surgical weight loss therapy. The AspireAssist is intended for a long-term duration of use in conjunction with lifestyle therapy and continuous medical monitori,T4,130-132,age_start,denotes,22,P150024,S000
P150024_S000,proval for the AspireAssist is intended to assist in weight reduction of obese patients. It is indicated for use in adults aged 22 or older with a Body Mass Index (BMI) of 35.0-55.0 kg/m2 who have failed to achieve and maintain weight loss with non-surgical weight loss therapy. The AspireAssist is intended for a long-term duration of use in conjunction with lifestyle therapy and continuous medical monitori,T2,130-141,age_range,denotes,22 years or older,P150024,S000
P150024_S000,proval for the AspireAssist is intended to assist in weight reduction of obese patients. It is indicated for use in adults aged 22 or older with a Body Mass Index (BMI) of 35.0-55.0 kg/m2 who have failed to achieve and maintain weight loss with non-surgical weight loss therapy. The AspireAssist is intended for a long-term duration of use in conjunction with lifestyle therapy and continuous medical monitori,T1,118-124,age_category,denotes,adults,P150024,S000
P960058_S079,"proval for the hires 90k mock-up as sterile instead of non-sterile, and to establish the shelf life at three years.  The device, as modified, will be marketed under the trade name harmony hiresolution bionic ear system hires 90k mock-up (mock-up) and is indicated for individuals aged twelve months and older with severe-to profound sensorineural hearing loss via electrical stimulation of the auditory ner",T2,305-310,age_end,denotes,older,P960058,S079
P960058_S079,"proval for the hires 90k mock-up as sterile instead of non-sterile, and to establish the shelf life at three years.  The device, as modified, will be marketed under the trade name harmony hiresolution bionic ear system hires 90k mock-up (mock-up) and is indicated for individuals aged twelve months and older with severe-to profound sensorineural hearing loss via electrical stimulation of the auditory ner",T3,294-300,age_start_unit,denotes,months,P960058,S079
P960058_S079,"proval for the hires 90k mock-up as sterile instead of non-sterile, and to establish the shelf life at three years.  The device, as modified, will be marketed under the trade name harmony hiresolution bionic ear system hires 90k mock-up (mock-up) and is indicated for individuals aged twelve months and older with severe-to profound sensorineural hearing loss via electrical stimulation of the auditory ner",T4,287-293,age_start,denotes,12,P960058,S079
P960058_S079,"proval for the hires 90k mock-up as sterile instead of non-sterile, and to establish the shelf life at three years.  The device, as modified, will be marketed under the trade name harmony hiresolution bionic ear system hires 90k mock-up (mock-up) and is indicated for individuals aged twelve months and older with severe-to profound sensorineural hearing loss via electrical stimulation of the auditory ner",T1,287-310,age_range,denotes,1 year of age and older,P960058,S079
P040024_S056,"proval for restylane l injectable gel.  This device is indicated for: 1) mid-to-deep dermal implantation for the correction of moderate to severe facial wrinkles and folds, such as nasolabial folds; and 2) submucosal implantation for lip augmentation in patients over the age of ",T4,281-283,age_start,denotes,21,P040024,S056
P040024_S056,"proval for restylane l injectable gel.  This device is indicated for: 1) mid-to-deep dermal implantation for the correction of moderate to severe facial wrinkles and folds, such as nasolabial folds; and 2) submucosal implantation for lip augmentation in patients over the age of ",T5,265-269,age_end,denotes,older,P040024,S056
P040024_S056,"proval for restylane l injectable gel.  This device is indicated for: 1) mid-to-deep dermal implantation for the correction of moderate to severe facial wrinkles and folds, such as nasolabial folds; and 2) submucosal implantation for lip augmentation in patients over the age of ",T3,265-283,age_range,denotes,21 years of age or older,P040024,S056
P970053_S011,"proval  for the nidek ec-5000 excimer laser system. this device is indicated for topography-assisted laser- assisted in-situ keratomileusis (lasik) treatment using the final fit custom ablation treatment planning software for the reduction or elimination of myopic refractive errors from -1.0 to -4.0 d of sphere with astigmatic refractive errors from >-0.5 to -2.0 d at the spectacle plane; in patients 21 years of age or older; and, in patients with documented stability of manifest refraction over the prior year, demonstrated by a change in mrse not greater than 0.5",T3,425-430,age_end,denotes,older,P970053,S011
P970053_S011,"proval  for the nidek ec-5000 excimer laser system. this device is indicated for topography-assisted laser- assisted in-situ keratomileusis (lasik) treatment using the final fit custom ablation treatment planning software for the reduction or elimination of myopic refractive errors from -1.0 to -4.0 d of sphere with astigmatic refractive errors from >-0.5 to -2.0 d at the spectacle plane; in patients 21 years of age or older; and, in patients with documented stability of manifest refraction over the prior year, demonstrated by a change in mrse not greater than 0.5",T4,409-414,age_start_unit,denotes,years,P970053,S011
P970053_S011,"proval  for the nidek ec-5000 excimer laser system. this device is indicated for topography-assisted laser- assisted in-situ keratomileusis (lasik) treatment using the final fit custom ablation treatment planning software for the reduction or elimination of myopic refractive errors from -1.0 to -4.0 d of sphere with astigmatic refractive errors from >-0.5 to -2.0 d at the spectacle plane; in patients 21 years of age or older; and, in patients with documented stability of manifest refraction over the prior year, demonstrated by a change in mrse not greater than 0.5",T5,406-408,age_start,denotes,21,P970053,S011
P970053_S011,"proval  for the nidek ec-5000 excimer laser system. this device is indicated for topography-assisted laser- assisted in-situ keratomileusis (lasik) treatment using the final fit custom ablation treatment planning software for the reduction or elimination of myopic refractive errors from -1.0 to -4.0 d of sphere with astigmatic refractive errors from >-0.5 to -2.0 d at the spectacle plane; in patients 21 years of age or older; and, in patients with documented stability of manifest refraction over the prior year, demonstrated by a change in mrse not greater than 0.5",T2,406-430,age_range,denotes,21 years of age or older,P970053,S011
P030040_S002,"proval for the transition of the advia centaur hbc igm assay to a new platform in the centaur family of instruments, the centaur cp. the device, as modified, will be marketed under the trade name advia centaur hbc igm assay and is indicated for: advia centaur hbc igm readypack reagents on the centaur cp analyzer: the advia centaur hbc igm assay is an in vitro diagnostic test for the qualitativedetermination of igm response to hepatitis b virus core antigen in human serum andplasma (edta or lithium or sodium heparinized) using the advia centaur cp system. the assay uses recombinant hbc antigen. this assay may be used in combination withother hepatitis b virus (hbv) marker assays to define the clinical status of known hbvinfected patients or can be combined with other hbv, hav (hepatitis a virus), and hcv(hepatitis c virus) assays for the diagnosis of patients presenting symptoms of acute viral hepatitis.  Assay performance characteristics have not been established for immunocompro-mised orimmunosuppressed patients, cord blood, neonatal specimens, infants, or children. assay performance characteristics have not been established when the advia centaur hbc igm assay is used in conjunction with other manufacturers' assays for specific hbv serological markers. advia centaur hbc igm quality control materials on the centaur cp analyzer: for monitoring the performance of the hbc igm assay using the advia centaursystems. the performance of the hbc igm quality control material has not beenestablished with any other anti-hbc igm assa",T1,1076-1084,age_category,denotes,children,P030040,S002
P930016_S010,ese devices are indicated for photorefractive keratectomy (prk) treatments:  in patients with documented evidence of a change in manifest refraction of less than or equal to 0.5 d per year for at least one year prior to the date of pre-operative examination; andin patients 21 years of age or older for the reduction or elimination of naturally occurring hyperopia between +0.5 and + 5.0 d sphere at the spectacle plane with refractive astigmatism from +0.5 to +4.0 d with a maximum manifest refraction spherical equivalent (mrse) of +6.0,T2,295-300,age_end,denotes,older,P930016,S010
P930016_S010,ese devices are indicated for photorefractive keratectomy (prk) treatments:  in patients with documented evidence of a change in manifest refraction of less than or equal to 0.5 d per year for at least one year prior to the date of pre-operative examination; andin patients 21 years of age or older for the reduction or elimination of naturally occurring hyperopia between +0.5 and + 5.0 d sphere at the spectacle plane with refractive astigmatism from +0.5 to +4.0 d with a maximum manifest refraction spherical equivalent (mrse) of +6.0,T3,279-284,age_start_unit,denotes,years,P930016,S010
P930016_S010,ese devices are indicated for photorefractive keratectomy (prk) treatments:  in patients with documented evidence of a change in manifest refraction of less than or equal to 0.5 d per year for at least one year prior to the date of pre-operative examination; andin patients 21 years of age or older for the reduction or elimination of naturally occurring hyperopia between +0.5 and + 5.0 d sphere at the spectacle plane with refractive astigmatism from +0.5 to +4.0 d with a maximum manifest refraction spherical equivalent (mrse) of +6.0,T4,276-278,age_start,denotes,21,P930016,S010
P930016_S010,ese devices are indicated for photorefractive keratectomy (prk) treatments:  in patients with documented evidence of a change in manifest refraction of less than or equal to 0.5 d per year for at least one year prior to the date of pre-operative examination; andin patients 21 years of age or older for the reduction or elimination of naturally occurring hyperopia between +0.5 and + 5.0 d sphere at the spectacle plane with refractive astigmatism from +0.5 to +4.0 d with a maximum manifest refraction spherical equivalent (mrse) of +6.0,T1,276-300,age_range,denotes,21 years of age or older,P930016,S010
P030040_S000,"proval for the advia centaur hbc igm.  Hbc igm ready pack reagents: this device is indicated for use for the advia centaur hbc igm assay and is an in vitro  diagnostic test for the qualitative determination if igm response to hepatitis b virus core antigen in human serum and plasma (edta or lithium or sodium heparinized) using the advia centaur system.  The assay uses recombinant hbc antigen.  This assay may be used in combination with other hepatitis b virus (hbv) market assays to define the clinical status of known hbv infected patients or can be combined with other hbv, hav (hepatitis a virus), and hcv (hepatitis c virus) assays for the diagnosis of patients presenting symptoms of acute viral hepatitis.  Assay performance characteristics have not been established for immunocompro-mised or immunosuppressed patients, cord blood, neonatal specimens, infants or children.  Assay performance characteristics have not been established when the advia centaur hbc igm assay is used in conjunction with other manufacturers' assays for specific hbv serological markers.  Hbc igm quality control materials: the controls are indicated for in vitro diagnostic use in monitoring the performance of the hbc igm assay on the adviua centaur systems.  The performance of the hbc igm quality control material has not been established with any other anti-hbc igm assa",T1,875-883,age_category,denotes,children,P030040,S000
P100044_S000,"proval for the propel sinus implant.  This device is indicated for use in patients >= 18 years of age following ethmoid sinus surgery to maintain patency, thereby reducing the need for post-operative intervention such as surgical adhesion lysis and/or use of oral steroids.  The propel sinus implant separates mucosal tissues, provides stabilization of the middle turbinate, prevents obstruction by adhesions, and reduces ede",T2,91-96,age_start_unit,denotes,years,P100044,S000
P100044_S000,"proval for the propel sinus implant.  This device is indicated for use in patients >= 18 years of age following ethmoid sinus surgery to maintain patency, thereby reducing the need for post-operative intervention such as surgical adhesion lysis and/or use of oral steroids.  The propel sinus implant separates mucosal tissues, provides stabilization of the middle turbinate, prevents obstruction by adhesions, and reduces ede",T3,88-90,age_start,denotes,18,P100044,S000
P100044_S000,"proval for the propel sinus implant.  This device is indicated for use in patients >= 18 years of age following ethmoid sinus surgery to maintain patency, thereby reducing the need for post-operative intervention such as surgical adhesion lysis and/or use of oral steroids.  The propel sinus implant separates mucosal tissues, provides stabilization of the middle turbinate, prevents obstruction by adhesions, and reduces ede",T4,85-87,age_end,denotes,older,P100044,S000
P100044_S000,"proval for the propel sinus implant.  This device is indicated for use in patients >= 18 years of age following ethmoid sinus surgery to maintain patency, thereby reducing the need for post-operative intervention such as surgical adhesion lysis and/or use of oral steroids.  The propel sinus implant separates mucosal tissues, provides stabilization of the middle turbinate, prevents obstruction by adhesions, and reduces ede",T1,85-96,age_range,denotes,18 years of age or older,P100044,S000
P930027_S004,"mulite psa, immulite. third generation psa, immulite 2000 psa, and immulite 2000 third generation psa.  Immulite. psa is indicated for in vitro diagnostic use with the immulite analyzer for the quantitative measurement of prostate-specific antigen (psa) in human serum, as an aid in the detection of prostate cancer when used in conjunction with digital rectal examination (dre) in men aged 50 years or older.  Immulite third generation psa is indicated for in vitro diagnostic use with the immulite analyzer for the quantitative measurement of prostate-specific antigen (psa) in human serum, as an aid in the detection of prostate cancer when used in conjunction with digital rectal examination (dre) in men aged 50 years or older.  Immulite 2000 psa is indicated for in vitro diagnostic use with the immulite 2000 analyzer for the quantitative measurement of prostate-specific antigen (psa) in human serum, as an aid in the detection of prostate cancer when used in conjunction with digital rectal examination (dre) in men aged 50 years or older.  Immulite 2000 third generation psa is indicated for in vitro diagnostic use with the immulite 2000 analyzer for the quantitative measurement of prostate-specific antigen (psa) in human serum, as an aid in the detection of prostate cancer when used in conjunction with digital rectal examination (dre) in men aged 50 years of old",T26,1377-1382,age_end,denotes,older,P930027,S004
