pma_number,supplement_number,applicant,street_1,street_2,city,state,zip,zip_ext,generic_name,trade_name,product_code,advisory_committee,advisory_committee_description,supplement_type,supplement_reason,expedited_review_flag,date_received,decision_date,docket_number,fed_reg_notice_date,decision_code,ao_statement,device_name,medical_specialty_description,regulation_number,device_class
P160048,S006,"Senseonics, Incorporated",20451 Seneca Meadows Parkway,,Germantown,MD,20876,7005,"Sensor, glucose, implanted, non-adjunctive use",Eversense Continuous Glucose Monitoring System,QHJ,CH,Clinical Chemistry,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2018-11-26,2019-06-06,19M-2753,2019-06-06,APPR,Approval for the Eversense CGM System.  The device is indicated for continually measuring glucose levels in adults (age 18 and older) with diabetes for up to 90 days. The system is indicated for use to replace fingerstick blood glucose measurements for diabetes treatment decisions.The system is intended to:1)	Provide real-time glucose readings;2)	Provide glucose trend information; and3)	Provide alerts for the detection and prediction of episodes of low blood glucose (hypoglycemia) and high blood glucose (hyperglycemia).The system is a prescription device. Historical data from the system can be interpreted to aid in providing therapy adjustments. These adjustments should be based on patterns seen over time. The system is intended for single patient use.,"Sensor, Glucose, Implanted, Non-Adjunctive Use",Unknown,,3
P930014,,"ALCON LABORATORIES, INC.",6201 SOUTH FREEWAY DR.,,FORT WORTH,TX,76134,,intraocular lens,ACRYSOF (R) UV ABSORBING INTRAOCULAR LENSES,HQL,OP,Ophthalmic,,,N,1993-05-28,1994-12-22,96M-0221,1996-07-15,APPR,Approval for the ACRYSOf® Models MA60BM and MA30BA Ultraviolet-Absorbing Acrylic Foldable UV-Absorbing Posterior Chamber Intraocular Lenses (IOLs).  These devices are indicated for replacement of the human lens to achieve visual correction of aphakia in patients 60 years of age and older when extracapsular cataract extraction or phacoemulsification are performed.  These lenses are intended for placement in the capsular bag.,Intraocular Lens,Ophthalmic,886.3600,3
P930034,S013,"Alcon Laboratories, Inc.","2501 DISCOVERY DRIVE,SUITE 500",,ORLANDO,FL,32826,3714,Excimer laser system,SVS APEX PLUS EXCIMER LASER WORKSTATION,LZS,OP,Ophthalmic,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,Y,1999-02-11,1999-10-21,00M-1591,2000-11-03,APPR,"APPROVAL FOR THE SVS APEX PLUS EXCIMER LASER WORKSTATION AND EMPHASIS(R) ""M"" DISCS (M00-M09)  THESE DEVICES ARE INDICATED TO PERFORM LASIK: 1) FOR THE REDUCTION OR ELIMINATION OF MYOPIA RANGING FROM 0.0 TO -14.0 DIOPTERS (D) WITH OR WITHOUT ASTIGMATISM RANGING FROM -0.5D TO -5.0D; 2) IN PATIENTS 18 YEARS OF AGE OR OLDER; AND 3) IN PATIENTS WITH DOCUMENTATION OF A STABLE MANIFEST REFRACTION (+0.5D) OVER THE PAST YEAR.",Excimer Laser System,Unknown,,3
P090022,S004,"LENSTEC, INC.",1765 COMMERCE AVE N,,ST. PETERSBURG,FL,33716,,intraocular lens,SOFTEC HD POSTERIOR CHAMBER INTRAOCULAR LENS,HQL,OP,Ophthalmic,Real-Time Process,Change Design/Components/Specifications/Material,N,2010-12-15,2011-02-02,,,APPR,"APPROVAL TO EXTEND THE POWER RANGE FOR WHICH LENSES ARE MARKETED IN 1/4 DIOPTER INCREMENT FROM 18.0 THROUGH 25.0 DIOPTERS TO 15.0 THROUGH 25.0 DIOPTERS.  THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME SOFTEC HD PS POSTERIOR CHAMBER INTRAOCULAR LENS (PCIOL) AND IS INDICATED FOR THE REPLACEMENT OF THE HUMAN CRYSTALLINE LENS FOLLOWING PHACOEMULSIFICATION CATARACT REMOVAL IN ADULTS OVER THE AGE OF 21.  THE LENS IS INDICATED FOR CAPSULAR BAG PLACEMENT.",Intraocular Lens,Ophthalmic,886.3600,3
P030031,S072,"BIOSENSE WEBSTER, INC.",31 Technology Drive,Suite 200,Irvine,CA,92618,,Cardiac ablation percutaneous catheter,THERMOCOOL SMARTTOUCH SF UNI-DIRECTIONAL NAVIGATION CATHETER; THERMOCOOL SMARTTOUCH SF BI-DIRECTIONAL NAVIGATION CATHETE,LPB,CV,Cardiovascular,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2016-02-01,2016-08-11,,,APPR,"Approval for the THERMOCOOL SMARTTOUCH® SF Catheters, part numbers D-1347-XX-S and D-1348-XX-S, indicated for catheter-based cardiac electrophysiological mapping (stimulating and recording) and, when used with a compatible RF generator, for the treatment of:1) Type I atrial flutter in patients age 18 or older; and 2) Drug refractory recurrent symptomatic paroxysmalatrial fibrillation, when used with compatible three dimensional electroanatomic mapping systems. The THERMOCOOL SMARTTOUCH® SF Navigation Catheter provides a real-time measurement of contact force between the catheter tip and heart wall, as well as location information when used with CARTO® 3 Navigation System.",Cardiac Ablation Percutaneous Catheter,Unknown,,3
P030031,S034,"BIOSENSE WEBSTER, INC.",31 Technology Drive,Suite 200,Irvine,CA,92618,,"Catheter, percutaneous, cardiac ablation, for treatment of atrial fibrillation","THERMOCOOL SF NAV UNI-DIRECTIONAL CATHETER (D-1315-XX-S, D-1318-XX-S) AND THERMOCOOL SF UNI-DIRECTIONAL CATHETER",OAE,CV,Cardiovascular,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2011-06-20,2011-12-21,,,APPR,"APPROVAL FOR THE FOLLOWING MODIFICATIONS: 1) REDUCED RECOMMENDED SALINE FLOW RATE (REDUCE BY ~50%; 2) INCREASE IN NUMBER OF IRRIGATION HOLES (FROM 6 TO 56); 3) DECREASE IN SIZE OF IRRIGATION HOLES (FROM 0.016¿ TO 0.0035¿ DIAMETER); AND 4) MODIFIED TIP ELECTRODE MATERIAL (FROM 90% PLATINUM/10% IRIDIUM TO 80% PALLADIUM/20% PLATINUM).THE DEVICE, AS MODIFIED WILL BE MARKETED UNDER THE TRADE NAMES UNI-DIRECTIONAL CARTO XP THERMOCOOL SF NAV CATHETER, UNI-DIRECTIONAL CARTO 3 THERMOCOOL SF NAV CATHETER, AND UNI-DIRECTIONAL THERMOCOOL SF CATHETER AND IS INDICATED FOR CATHETER BASED CARDIAC ELECTROPHYSIOLOGICAL MAPPING (STIMULATING AND RECORDING) AND, WHEN USED WITH A COMPATIBLE RT GENERATOR, FOR THE TREATMENT OF: A) TYPE I ATRIAL FLUTTER IN PATIENTS AGE 18 OR OLDER; B) DRUG REFRACTORY RECURRENT SYMPTOMATIC PAROXYSMAL ATRIAL FIBRILLATION, WHEN USED WITH COMPATIBLE THREE-DIMENSIONAL ELECTROANATOMIC MAPPING SYSTEMS.  THE THERMOCOOL SF NAV DIAGNOSTIC/ABLATION DEFLECTABLE TIP CATHETER PROVIDES LOCATION INFORMATION WHEN USED WITH COMPATIBLE CARTO EP NAVIGATION SSYTEMS.  THE BIOSENSE WEBSTER THERMOCOOL SF DIAGNOSTIC/ABLATION DEFLECTABLE TIP CATHETER AND RELATED ACCESSORIES ARE INDICATED FOR USE IN CATHETER-BASED CARDIAC ELECTROPHYSIOLOGICAL MAPPING (STIMULATING AND RECORDING) AND, WHEN USED WITH A COMPATIBLE RF GENERATOR, FOR THE TREATMENT OF TYPE I ATRIAL FLUTTER IN PATIENTS AGE 18 OR OLDER.","Catheter, Percutaneous, Cardiac Ablation, For Treatment Of Atrial Fibrillation",Unknown,,3
P160012,,Physio-Control. Inc.,11811 Willows Rd. NE,,Redmond,WA,98052,,Automated external defibrillators (non-wearable),"LIFEPAK CR® Plus Defibrillator, LIFEPAK EXPRESS® Defibrillator, and CHARGE-PAK® Battery Charger",MKJ,CV,Cardiovascular,,,N,2016-04-27,2017-12-21,17M-6983,2018-03-20,APPR,"Approval for the LIFEPAK CR® Plus Defibrillator, LIFEPAK EXPRESS® Defibrillator, and CHARGE-PAK® Battery Charger.  The LIFEPAK CR Plus and LIFEPAK EXPRESS  defibrillators are indicated for use on patients in cardiac arrest.  The patient must be unresponsive (unconscious), not breathing normally, and showing no signs of circulation (for example, no pulse, no coughing, or no movement).The devices are intended for use by personnel who have been trained in their operation.  Users should have received training in basic life support/AED, advanced life support or a physician-authorized emergency medical response training program.The defibrillators may be used with QUIK-PAK defibrillations pads only on adults and children who are 8 years old or more, or who weigh more than 25kg (55lbs).  The  defibrillators may be used on children who are less than 8 years old or weigh less than 25k (55lbs) with Infant/Child Reduced Energy Defibrillation Electrodes.The defibrillators may be used with the CHARGE-PAK battery charger.",Automated External Defibrillators (Non-Wearable),Cardiovascular,870.5310,3
P170013,,"MicroVention, Inc.",1311 Valencia Avenue,,Tustin,CA,92780,,Intracranial coil-assist stent,Low-Profile Visualized Intraluminal Support (LVIS) and LVIS Jr.,QCA,NE,Neurology,,,N,2017-03-31,2018-05-30,18M-2118,2018-06-08,APPR,Approval for the Low-Profile Visualized Intraluminal Support (LVIS) and LVIS Jr.  This device is indicated for use with neurovascular embolization coils in patients >= 18 years of age for the treatment of wide-neck (neck width >= 4 mm or dome to neck ratio < 2) saccular intracranial aneurysms arising from a parent vessel with a diameter >= 2.0 mm and <= 4.5 mm.,Intracranial Coil-Assist Stent,Unknown,,3
P030024,,ORTHO-CLINICAL DIAGNOSTICS,100 INDIGO CREEK DR.,,ROCHESTER,NY,14626,5101,"Test, hepatitis b (b core, be antigen, be antibody, b core igm)",VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HBC REAGENT PACK/CALIBRATOR,LOM,MI,Microbiology,,,N,2003-06-19,2004-03-04,04M-0341,2004-08-04,APPR,"APPROVAL FOR THE VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HBC REAGENT PACK AND VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HBC CALIBRATOR.  THESE DEVICES ARE INDICATED FOR:  1) VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HBC REAGENT PACK IS INDICATED FOR THE IN VITRO  QUALITATIVE DETECTION OF TOTAL ANTIBODY (IGG AND IGM) TO HEPATITIS B CORE ANTIGEN (TOTAL ANTI-HBC) IN HUMAN ADULT AND PEDIATRIC SERUM AND PLASMA (EDTA AND CITRATE) AND NEONATE SERUM USING THE VITROS ECI IMMUNODIAGNOSTIC SYSTEM.  ASSAY RESULTS, IN CONJUNCTION WITH OTHER SEROLOGICAL AND CLINICAL INFORMATION, MAY BE USED FOR THE LABORATORY DIAGNOSIS OF INDIVIDUALS WITH ACUTE OR CHRONIC HEPATITIS B, OR RECOVERY FROM HEPATITIS B INFECTION.  THE PRESENCE OF ANTI-HBC MAY BE USED AS AN AID IN THE DETERMINATION OF EXPOSURE TO HBV INFECTION FOR INDIVIDUALS PRIOR TO HBV VACCINATION.  2) VITROS IMMUNODIAGNOSTIC PRODUCTS ANTI-HBC CALIBRATOR IS INDICATED FOR USE IN THE CALIBRATION OF THE VITROS ECI IMMUNODIAGNOSTIC SYSTEM WHEN USED FOR THE IN VITRO QUALITATIVE DETECTION OF TOTAL ANTIBODY (IGG AND IGM) TO HEPATITIS B CORE ANTIGEN (TOTAL ANTI-HBC) IN HUMAN ADULT AND PEDIATRIC SERUM AND PLASMA (EDTA AND CITRATE) AND NEONATE SERUM USING VITROS ANTI-HBC REAGENT PACKS.","Test, Hepatitis B (B Core, Be Antigen, Be Antibody, B Core Igm)",Unknown,,3
P050047,S044,Allergan,2525 DUPONT DR.,,IRVINE,CA,92612,,"Implant, dermal, for aesthetic use",JUVEDERM ULTRA XC INJECTABLE GEL,LMH,SU,"General, Plastic Surgery",Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2015-01-27,2015-09-30,15M-3519,2015-10-30,APPR,APPROVAL FOR THE JUVÉDERM ULTRA XC. THIS DEVICE IS INDICATED FOR:1) JUVÉDERM ULTRA XC INJECTABLE GEL IS INDICATED FOR INJECTION INTO THE MID TO DEEP DERMIS FOR CORRECTION OF MODERATE TO SEVERE FACIAL WRINKLES AND FOLDS (SUCH AS NASOLABIAL FOLDS); AND 2) JUVÉDERM ULTRA XC IS INDICATED FOR INJECTION INTO THE LIPS AND PERIORAL AREA FOR LIP AUGMENTATION IN ADULTS OVER THE AGE OF 21.,"Implant, Dermal, For Aesthetic Use",Unknown,,3
P810032,S050,ALCON LABORATORIES,6201 S FREEWAY,,FT WORTH,TX,76134,,intraocular lens,ACRYSOF UV-ABSORBING MULTI-PIECE PC IOL,HQL,OP,Ophthalmic,Real-Time Process,Labeling Change - Indications/instructions/shelf life/tradename,N,2004-04-16,2004-04-29,,,APPR,"APPROVAL TO MODIFY THE INDICATIONS STATEMENT, TO INDICATE THE IOLS FOR USE IN ADULT PATIENTS FOLLOWING CATARACT SURGERY.  PREVIOUSLY, THE IOLS WERE INDICATED FOR USE IN PERSONS 60 YEARS OF AGE OR OLDER WHEN EXTRACAPSULAR CATARACT EXTRACTION OR PHACOEMULSIFICATION ARE PERFORMED OR WHERE A CATARACTOUS LENS HAS BEEN REMOVED.  THE DEVICE IS INDICATED FOR THE REPLACEMENT OF THE HUMAN LENS TO ACHIEVE VISUAL CORRECTION OF APHAKIA IN ADULTS FOLLOWING CATARACT SURGERY.",Intraocular Lens,Ophthalmic,886.3600,3
P100039,,SIEMENS HEALTHCARE DIAGNOSTICS INC.,511 BENEDICT AVE.,,TARRYTOWN,NY,10591,,"Test, hepatitis b (b core, be antigen, be antibody, b core igm)",ADVIA CENTAUR ANTI-HBS2 (AHBS2) ASSAY AND QAULITY CONTROL MATERIAL,LOM,MI,Microbiology,,,N,2010-08-17,2012-01-20,12M-0075,2012-01-24,APPR,"APPROVAL FOR ADVIA CENTAUR ANTI-HBS2 (AHBS2) ASSAY AND ADVIA CENTAUR ANTI-HBS2 (AHBS2) QUALITY CONTROL MATERIAL FOR USE ON THE ADVIA CENTAUR AND ADVIA CENTAUR XP SYSTEMS.  THIS DEVICE IS INDICATED FOR:  ADVIA CENTAUR ANTI-HBS2 (AHBS2) ASSAY,  THE ADVIA CENTAUR ANTI-HB2 ASSAY IS AN IN VITRO DIAGNOSTIC IMMUNOASSAY FOR THE QUALITATIVE AND QUANTITATIVE DETERMINATION OF TOTAL ANTIBODIES TO HEPATITIS B SURFACE ANTIGEN IN HUMAN ADULT, ADOLESCENT, AND PEDIATRIC SERUM OF PLASMA (EDTA, LITHIUM-HEPARINIZED, OR SODIUM-HEPARINIZED) AND NEONATAL SAMPLES USING THE ADVIA CENTAUR AND ADVIA CENTAUR XP SYSTEMS.  THE ASSAY RESULTS MAY BE USED AS AN AID IN THE DETERMINATION OF SUSCEPTIBILITY TO HEPATITIS B VIRUS (HBV) INFECTION IN INDIVIDUALS PRIOR TO OR FOLLOWING HBV VACCINATION OR WHERE VACCINATION STATUS IS UNKNOWN.  ASSAY RESULTS MAY BE USED WITH OTHER HBV SEROLOGICAL MARKERS FOR THE LABORATORY DIAGNOSIS OF HBV DISEASE ASSOCIATED WITH HBV INFECTION.  A REACTIVE ASSAY RESULT WILL ALLOW A DIFFERENTIAL DIAGNOSIS IN INDIVIDUALS DISPLAYING SIGNS AND SYMPTOMS OF HEPATITIS IN WHOM ETIOLOGY IS UNKNOWN.THIS ASSAY HAS NOT BEEN FDA-CLEARED OR APPROVED FOR THE SCREENING OF BLOOD OR PLASMA DONORS.  ADVIA CENTAUR ANTI-HBS2 (AHBS2) QUALITY CONTROL MATERIAL,  FOR IN VITRO DIAGNOSTIC USE IN MONITORING THE PERFORMANCE OF THE ANTI-HBS2 ASSAY ON THE ADVIA CENTAUR SYSTEMS.  THE PERFORMANCE OF THE ANTI-HBS2 QUALITY CONTROL MATERIAL HAS NOT BEEN ESTABLISHED WITH ANY OTHER ANTI-HBS ASSAYS.","Test, Hepatitis B (B Core, Be Antigen, Be Antibody, B Core Igm)",Unknown,,3
P080023,S001,Abbott Laboratories,100 ABBOTT PARK RD.,"AP5N-2, DEPT. 09VB",ABBOTT PARK,IL,60064,,"Test, hepatitis b (b core, be antigen, be antibody, b core igm)",ABBOTT ARCHITECT CORE ASSAY,LOM,MI,Microbiology,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2009-06-19,2009-12-10,,,APPR,"APPROVAL FOR MIGRATION OF THE ARCHITECT® CORE¿ ASSAY TO A NEWARCHITECT® I SYSTEM FAMILY MEMBER, THE ARCHITECT® I 1000SR.THE ARCHITECT CORE REAGENT KIT DEVICE IS INDICATED FOR:THE ARCHITECT CORE ASSAY IS A CHEMILUMINESCENT MICROPARTICLE IMMUNOASSAY(CMIA) FOR THE QUALITATIVE DETECTION OF IGG AND IGM ANTIBODIES TO HEPATITIS B COREANTIGEN (ANTI-HBC) IN HUMAN ADULT AND PEDIATRIC SERUM AND PLASMA (DIPOTASSIUM EDTA, LITHIUM HEPARIN, SODIUM HEPARIN) AND NEONATAL SERUM. IT IS INTENDED AS AN AID IN THE DIAGNOSIS OF ACUTE, CHRONIC, OR RESOLVED HEPATITIS B VIRUS (HBV) INFECTION IN CONJUNCTION WITH OTHER LABORATORY RESULTS AND CLINICAL INFORMATION.","Test, Hepatitis B (B Core, Be Antigen, Be Antibody, B Core Igm)",Unknown,,3
P150005,S008,Boston Scientific Corp.,150 BAYTECH DRIVE,,SAN JOSE,CA,95134,,"catheter, percutaneous, cardiac ablation, for treatment of atrial flutter",INTELLATIP MIFI OPEN-IRRIGATED ABLATION CATHETER,OAD,CV,Cardiovascular,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2016-05-02,2017-03-02,,,APPR,"Approval for design changes to incorporate three mini electrodes into the Blazer Open Irrigated Ablation Catheter. The device, as modified, will be marketed under the trade name IntellaTip MiFi Open-Irrigated Ablation Catheter and is indicated for: The IntellaTip MiFi Open-Irrigated Ablation Catheter, when used with a Maestro 4000 Radiofrequency (RF) Controller and MetriQ Irrigation Pump, is indicated for cardiac electrophysiological mapping, delivering diagnostic pacing stimuli, and radiofrequency ablation of sustained or recurrent Type I Atrial Flutter (AFL) in patients age 18 or older.","Catheter, Percutaneous, Cardiac Ablation, For Treatment Of Atrial Flutter",Unknown,,3
P040001,S002,"MEDTRONIC SOFAMOR DANEK, INC.",1800 Pyramid Place,,Memphis,TN,38132,,"Prosthesis, spinous process spacer/plate",X STOP INTERSPINOUS PROCESS DECOMPRESSION SYSTEM,NQO,OR,Orthopedic,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2006-03-01,2006-08-08,,,APPR,"APPROVAL FOR THE X STOPPK, A MODIFIED VERSION OF THE X STOP THAT INCLUDES A PEEK SPACER AND ADDITIONAL 16 MM SPACER SIZE.  THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME X STOPPK AND IS INDICATED FOR TREATMENT OF PATIENTS AGED 50 OR OLDER SUFFERING FROM NEUROGENIC INTERMITTENT CLAUDICATION SECONDARY TO A CONFIRMED DIAGNOSIS OF LUMBAR SPINAL STENOSIS (WITH X-RAY, MRI, AND/OR CT EVIDENCE OF THICKENING LIGAMENTUM FLAVUM, NARROWED LATERAL RECESS AND/OR CENTRAL CONAL NARROWING).  THE X STOPPK IS INDICATED  FOR THOSE PATIENTS WITH MODERATELY IMPAIRED PHYSICAL FUNCTION WHO EXPERIENCE RELIEF IN FLEXION FROM THEIR SYMPTOMS OF LEG/BUTTOCK/GROIN PAIN, WITH OR WITHOUT BACK PAIN, AND HAVE UNDERGONE A REGIMEN OF AT LEAST 6 MONTHS OF NONOPERATIVE TREATMENT.  THE X STOPPK MAY BE IMPLANTED AT ONE OR TWO LUMBAR LEVELS IN PATIENTS IN WHOM OPERATIVE TREATMENT IS INDICATED AT NO MORE THAN TWO LEVELS.","Prosthesis, Spinous Process Spacer/Plate",Unknown,,3
P120021,,Abbott Medical,5050 Nathan Lane North,,Plymouth,MN,55442,,Transcatheter septal occluder,AMPLATZER PFO OCCLUDER,MLV,CV,Cardiovascular,,,N,2012-11-30,2016-10-28,16M-3653,2016-11-01,APPR,"Approval for the AMPLATZER PFO Occluder.  The device is indicated for percutaneous transcatheter closure of a patent foramen ovale (PFO) to reduce the risk of recurrent ischemic stroke in patients, predominantly between the ages of 18 and 60 years, who have had a cryptogenic stroke due to a presumed paradoxical embolism, as determined by a neurologist and cardiologist following an evaluation to exclude known causes of ischemic stroke.",Transcatheter Septal Occluder,Unknown,,3
P130019,,"ReShape Lifesciences, Inc.",2800 PATTON ROAD,,SAINT PAUL,MN,55113,,neuromodulator for obesity,MAESTRO RECHARGEABLE SYSTEM,PIM,GU,"Gastroenterology, Urology",,,N,2013-06-21,2015-01-14,15M-0201,2015-01-16,APWD,"APPROVAL FOR THE MAESTRO® RECHARGEABLE SYSTEM. THIS DEVICE IS INDICATED FOR USE IN WEIGHT REDUCTION IN PATIENTS AGED 18 YEARS THROUGH ADULTHOOD WHO HAVE A BODY MASS INDEX (BMI) OF 40 TO 45 KG/M2, OR A BMI OF 35 TO 39.9 KG/M2 WITH ONE OR MORE OBESITY RELATED CO-MORBID CONDITIONS, AND HAVE FAILED AT LEAST ONE SUPERVISED WEIGHT MANAGEMENT PROGRAM WITHIN THE PAST FIVE YEARS.",Neuromodulator For Obesity,Unknown,,3
P930016,S021,"AMO Manufacturing USA, LLC",510 Cottonwood Drive,,Milpitas,CA,95035,,Excimer laser system,STAR S4 IR EXCIMER LASER SYSTEM WITH VARIABLE SPOT SCANNING (VSS) AND WAVESCAN WAVEFRONT SYSTEM,LZS,OP,Ophthalmic,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2005-03-08,2005-08-30,05M-0382,2005-09-23,APPR,"APPROVAL FOR THE STAR S4 IR EXCIMER LASER SYSTEM WITH VSS AND WAVESCAN WAVEFRONT SYSTEM.  THE DEVICE USES A 6.0 MM OPTICAL ZONE, AN 8.0 MM TREATMENT ZONE, AND IS INDICATED FOR WAVEFRONT-GUIDED (WFG) LASER ASSISTED IN SITU KERATOMILEUSIS (LASIK): 1) FOR THE REDUCTION OR ELIMINATION OF MYOPIA AND MYOPIC ASTIGMATISM FROM -6.0 TO -11.00 D MRSE, WITH CYLINDER BETWEEN 0.00 AND -3.00 D; 2) IN PATIENTS 21 YEARS OF AGE OR OLDER, AND 3) IN PATIENTS WITH DOCUMENTED EVIDENCE OF A CHANGE IN MANIFEST REFRACTION OF NO MORE THAN 1.00 D (IN BOTH CYLINDER AND SPHERE COMPONENTS) FOR AT LEAST ONE YEAR PRIOR TO THE DATE OF PRE-OPERATIVE EXAMINATION.",Excimer Laser System,Unknown,,3
P020050,S012,"Alcon Laboratories, Inc.",6201 South Freeway,,Fort Worth,TX,76134,2099,Excimer laser system,ALLEGRETTO WAVE EYE-Q EXCIMER LASER SYSTEM,LZS,OP,Ophthalmic,Panel Track,Change Design/Components/Specifications/Material,N,2013-04-01,2013-09-27,13M-1321,2013-10-30,APPR,"APPROVAL FOR THE ALLEGRETTO WAVE® EYE-Q 400HZ EXCIMER LASER SYSTEM. THIS DEVICE IS INDICATED FOR THE FOLLOWING: THE WAVELIGHT ALLEGRETTO WAVE® EYE-Q EXCIMER LASER SYSTEM USED IN CONJUNCTION WITH THE WAVELIGHT ALLEGRO TOPOLYZER (TOPOGRAPHER) AND T-CAT TREATMENT PLANNING SOFTWARE IS INDICATED FOR PERFORMING TOPOGRAPHY-GUIDED LASER ASSISTED IN SITU KERATOMILEUSIS (TOPO-GUIDED (T-CAT) LASIK): 1) FOR THE REDUCTION OR ELIMINATION OF UP TO -9.00 DIOPTERS (D) OF SPHERICAL EQUIVALENT MYOPIA OR MYOPIA WITH ASTIGMATISM, WITH UP TO -8.00 D OF SPHERICAL COMPONENT AND UP TO -3.00D OF ASTIGMATIC COMPONENT AT THE SPECTACLE PLANE; 2) IN PATIENTS WHO ARE 18 YEARS OF AGE OR OLDER; AND 3) IN PATIENTS WITH DOCUMENTATION OF A STABLE MANIFEST REFRACTION DEFINED AS 0.50D OR LESS OF PREOPERATIVE SPHERICAL EQUIVALENT SHIFT OVER ONE YEAR PRIOR TO SURGERY.¿",Excimer Laser System,Unknown,,3
P030031,S011,"BIOSENSE WEBSTER, INC.",31 Technology Drive,Suite 200,Irvine,CA,92618,,"Catheter, percutaneous, cardiac ablation, for treatment of atrial fibrillation",NAVISTAR & CELSIUS THERMOCOOL CATHETERS,OAE,CV,Cardiovascular,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,Y,2008-08-13,2009-02-06,09M-0071,2009-02-18,APPR,"APPROVAL FOR THE NAVISTAR THERMOCOOL CATHETER AND EZ STEER THERMOCOOL CATHETER-NAV VERSION. THESEDEVICES ARE INDICATED FOR CATHETER-BASED CARDIAC ELECTROPHYSIOLOGICAL MAPPING (STIMULATING ANDRECORDING), AND WHEN USED WITH THE STOCKERT 70 GENERATOR, FOR THE TREATMENT OF:1) TYPE I ATRIAL FLUTTER IN PATIENTS AGE 18 OR OLDER.2) RECURRENT DRUG/DEVICE REFRACTORY SUSTAINED MONOMORPHIC VENTRICULAR TACHYCARDIA(VT) DUE TO PRIOR MYOCARDIAL INFARCTION (MI) IN ADULTS.3) DRUG REFRACTORY RECURRENT SYMPTOMATIC PAROXYSMAL ATRIAL FIBRILLATION, WHEN USED WITH COMPATIBLE THREE-DIMENSIONAL ELECTROANATOMIC MAPPING SYSTEMS.","Catheter, Percutaneous, Cardiac Ablation, For Treatment Of Atrial Fibrillation",Unknown,,3
P050006,S060,"W.L. GORE & ASSOCIATES,INC",32360 N NORTH VALLEY PARKWAY,,PHOENIX,AZ,85085,1505,Transcatheter septal occluder,GORE CARDIOFORM Septal Occluder,MLV,CV,Cardiovascular,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2017-07-31,2018-03-30,18M-1372,2018-04-17,APPR,"Approval for the GORE CARDIOFORM Septal Occluder.  The GORE CARDIOFORM Septal Occluder is a permanently implanted device indicated for the percutaneous, transcatheter closure of the following defects of the atrial septum:1) ostium secundum atrial septal defects (ASDs); and2) patent foramen ovale (PFO) to reduce the risk of recurrent ischemic stroke in patients, predominantly between the ages of 18 and 60 years, who have had a cryptogenic stroke due to a presumed paradoxical embolism, as determined by a neurologist and cardiologist following an evaluation to exclude known causes of ischemic stroke.",Transcatheter Septal Occluder,Unknown,,3
